name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamId
haunted house,2024-01-10,11008,8.99,57387.0,4.04629417359116,85,indie,genuine studio,genuine studio,2376540
crawling lab,2024-06-16,13940,4.99,57371.0,7.859513090811096,83,indie,etirue,etirue,2637070
kamitsubaki city ensemble,2024-08-28,17421,3.99,57163.0,3.618618537414159,62,indie,"kamitsubaki studio,studio lalala","kamitsubaki studio,studio lalala",2581050
commando collection,2024-07-26,13988,4.99,57114.0,2.195678782003565,99,indie,macrojoy,macrojoy,3059010
story of eve 2,2024-04-25,6937,9.99,57000.0,2.441362377180889,82,indie,"mango party,mango party news",smallsqurriel,1959520
incubus quest,2024-01-12,4931,14.99,56928.0,3.984279687862555,79,indie,kagura games,sweetraspberry,2429890
mashiroiro symphony hd -sana edition-,2024-05-01,3374,29.99,56826.0,15.587132012446787,88,indie,shiravune,palette,2737980
"magical mic duel: senpai, hear my spell",2024-05-23,12868,6.99,56611.0,0.6995787387464362,92,indie,relu games,relu games,2696400
exit kun,2024-02-04,31148,2.99,56542.0,1.6875465233684876,85,indie,aikun,"ikun&kun,aikun",2781370
space industrial empire,2024-05-24,12991,5.99,56264.0,185.925273584738,83,indie,游戏养家工作室,游戏养家工作室,2423620
flock,2024-07-16,3422,19.99,56222.0,5.0648597179177,95,aa,annapurna interactive,"hollow ponds,richard hogg",1472930
usc: counterforce,2024-07-18,4557,19.99,56116.0,12.624011194681223,76,indie,firesquid,"angry cat studios,creatio 49",1574870
rack and slay,2024-05-27,11532,5.99,56109.0,9.014412644766326,94,indie,2 left thumbs,ludokultur,2311990
gordian rooms 2: a curious island,2024-01-19,2891,24.99,56094.0,14.573450988254375,74,indie,crimsonite games,crimsonite games,1528220
honeymoon : mystery journey,2024-04-04,6849,9.99,56018.0,1.613685089483286,86,indie,"mango party,mango party news",gentleman.ltd,2483970
hauntii,2024-05-23,3825,19.99,55934.0,5.999272463046797,90,indie,firestoke,moonloop games,2060790
arranger: a role-puzzling adventure,2024-07-25,3400,19.99,55837.0,3.963704938583484,95,indie,furniture & mattress llc,furniture & mattress llc,2596420
secrets of the heartbeat,2024-06-07,13018,9.99,55727.0,2.6283030530483527,89,indie,rainbowgame,rainbowgame,2774190
"kingdom, dungeon, and hero",2024-07-01,2158,29.99,55543.0,13.419890616501409,84,indie,kraken studios,kraken studios,2572400
reroad,2024-06-26,4185,14.99,55440.0,5.11095355691673,78,indie,rabbithole games,rabbithole games,1304130
petit game collection vol.1,2024-01-19,11241,7.99,55429.0,2.975158869813168,0,indie,wss playground,wss playground,2757490
nie no hakoniwa - dollhouse of offerings,2024-02-15,2185,29.99,55324.0,9.778930254944072,78,indie,sekai project,chatte noire,2527450
mimic logic,2024-02-22,15387,3.99,55254.0,9.843984440009253,99,indie,nihohe soft,nihohe soft,2455920
body pay,2024-04-19,8417,7.99,55093.0,1.4329818666749834,77,indie,cheese burger studio,cheese burger studio,2909170
college sex fest 2024,2024-05-02,6723,12.99,54904.0,1.967925174231157,62,indie,inturo games inc.,inturo games inc.,2842860
human farm - practice section,2024-03-08,10095,6.99,54805.0,2.104899164154087,86,indie,072 project,とっくり海月,2516590
yume 4,2024-01-12,18572,4.99,54457.0,1.2250755579041477,78,indie,lovely games,lovely game,2602730
perfect cells project,2024-07-31,6494,9.99,54356.0,1.957793964661488,81,indie,playmeow,shinshimoustache,2688650
sex euphoria 💖,2024-02-03,8232,9.99,54348.0,1.6484623283506317,74,indie,romantic room,romantic room,2740180
feed the deep,2024-08-16,9909,6.99,54316.0,3.405209908163857,94,indie,luke muscat,luke muscat,2332260
lifecraft,2024-04-16,2832,22.99,54293.0,9.238948160822265,83,indie,pixbits,pixbits,1839930
valiant hearts: coming home,2024-05-24,4242,14.99,54185.0,1.9642139752926429,66,aaa,ubisoft,"ubisoft da nang,ubisoft montpellier",2741360
rkgk / rakugaki,2024-05-22,3298,19.99,54015.0,3.516789972301656,77,indie,wabisabi games,wabisabi games,2146570
chill town,2024-03-22,4474,14.99,53847.0,8.455069857008738,72,indie,low-hi tech,low-hi tech,1940200
werewolf: the apocalypse — the book of hungry names,2024-04-25,3708,19.99,53836.0,20.21555010926772,89,indie,choice of games,choice of games,2402280
